timestamp,pressure_Pa
2025/08/25-18:19:58,4.187935651179183e-08
2025/08/25-18:20:00,4.187935651179183e-08
2025/08/25-18:21:00,4.102041029866064e-08
2025/08/25-18:22:00,4.2169650342858225e-08
2025/08/25-18:23:00,4.102041029866064e-08
2025/08/25-18:24:00,4.073802778041122e-08
2025/08/25-18:25:00,4.0457589169744286e-08
2025/08/25-18:26:00,4.1591061049402185e-08
2025/08/25-18:27:00,4.0179081084894004e-08
2025/08/25-18:28:00,4.073802778041122e-08
2025/08/25-18:29:00,4.187935651179183e-08
2025/08/25-18:30:00,4.073802778041122e-08
2025/08/25-18:31:00,4.187935651179183e-08
2025/08/25-18:32:00,4.1591061049402185e-08
2025/08/25-18:33:00,4.187935651179183e-08
2025/08/25-18:34:00,4.1591061049402185e-08
2025/08/25-18:35:00,4.187935651179183e-08
2025/08/25-18:36:00,4.187935651179183e-08
2025/08/25-18:37:00,4.187935651179183e-08
2025/08/25-18:38:00,4.187935651179183e-08
