timestamp,T_ICR_C,T_ICH_C
2025/08/25-18:19:58,-30.601371070225667,-9.622395183877927
2025/08/25-18:20:00,-30.49638656607388,-9.751939513085347
2025/08/25-18:21:00,-34.17536528035146,-9.450531485174395
2025/08/25-18:22:00,-30.081953453178215,-9.279638169686336
2025/08/25-18:23:00,-22.38758169842535,-3.090562301301418
2025/08/25-18:24:00,-30.28808219800962,-9.23706459849484
2025/08/25-18:25:00,-30.28808219800962,-9.579337405401589
2025/08/25-18:26:00,-34.17536528035146,-9.838614150889896
2025/08/25-18:27:00,-29.97968891873731,-9.536341031953327
2025/08/25-18:28:00,-22.245947679480167,-2.7727863958608623
2025/08/25-18:29:00,-29.877949292404423,-9.579337405401589
2025/08/25-18:30:00,-29.97968891873731,-9.450531485174395
2025/08/25-18:31:00,-34.302615824918405,-9.665514622988894
2025/08/25-18:32:00,-30.081953453178215,-9.795245482864402
2025/08/25-18:33:00,-21.895723319964418,-3.232653755449803
2025/08/25-18:34:00,-30.081953453178215,-9.708695979847505
2025/08/25-18:35:00,-29.97968891873731,-9.579337405401589
2025/08/25-18:36:00,-34.302615824918405,-10.364026052991562
2025/08/25-18:37:00,-29.776728473558393,-9.364964528362691
2025/08/25-18:38:00,-21.757143469897755,-2.214242160095978
